"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
9.130954742E-3,6.504196716E1,2.546514734E1,2.105107107E1,0.000000000E0,NaN,1.200458813E1,5.303941345E1
1.407599449E-2,6.504195603E1,2.546514044E1,1.940601301E1,0.000000000E0,NaN,1.613223235E1,3.000000000E1
2.288762808E0,6.504197712E1,2.546523559E1,1.728567052E1,0.000000000E0,NaN,9.623900801E0,3.215868378E1
3.288753271E0,6.504198505E1,2.546523778E1,1.707431753E1,1.222096682E0,NaN,8.813945744E0,4.286428833E1
6.288724899E0,6.504201145E1,2.546522350E1,1.518807385E1,0.000000000E0,NaN,9.865468965E0,6.631953430E1
7.288715243E0,6.504201994E1,2.546522495E1,1.540508892E1,0.000000000E0,NaN,1.019997614E1,6.163585281E1
8.288728237E0,6.504203197E1,2.546522664E1,1.543985419E1,0.000000000E0,NaN,1.108219622E1,1.525918121E2
9.288725138E0,6.504211078E1,2.546521907E1,1.691588958E1,0.000000000E0,1.465530468E1,7.361321552E0,1.304317188E1
1.028871572E1,6.504213559E1,2.546521380E1,1.700278926E1,8.876903653E-1,9.939932464E0,5.778548833E0,9.904542923E0
1.175471830E1,6.504215668E1,2.546521740E1,1.823864879E1,6.562196612E-1,1.829838414E0,4.642925376E0,7.454326630E0
1.275578547E1,6.504215442E1,2.546521566E1,1.861651943E1,6.562196612E-1,3.447486074E2,4.229269689E0,7.046429157E0
1.375676405E1,6.504215742E1,2.546521736E1,1.872246721E1,5.360514522E-1,3.447486074E2,4.275168470E0,6.421606541E0
1.475774658E1,6.504216976E1,2.546521613E1,1.872239864E1,5.360514522E-1,3.447486047E2,3.250295416E0,6.781085325E0
1.575867200E1,6.504218505E1,2.546521056E1,1.876199221E1,5.360514522E-1,3.447486047E2,3.426986726E0,6.583172557E0
1.675953662E1,6.504218703E1,2.546520955E1,1.860710704E1,3.915908337E-1,3.447486054E2,3.582400163E0,6.180633499E0
1.776039600E1,6.504220255E1,2.546519509E1,1.791741219E1,2.036172450E-1,3.447486064E2,4.789107476E0,5.900645733E0
1.876114905E1,6.504218768E1,2.546520276E1,1.876029132E1,2.822289765E-1,3.447486060E2,4.748651530E0,6.234534709E0
1.976185000E1,6.504218018E1,2.546519982E1,1.873740752E1,2.722151577E-1,3.447486060E2,4.748651530E0,6.072159651E0
2.076254916E1,6.504218719E1,2.546520820E1,1.731984297E1,4.020583630E-1,3.447486054E2,4.748651530E0,6.454866420E0
2.176314139E1,6.504219935E1,2.546520890E1,1.624407109E1,4.020583630E-1,3.447486054E2,4.748651530E0,6.199655845E0
2.276368952E1,6.504220810E1,2.546519832E1,1.490684397E1,4.020583630E-1,3.447486054E2,4.748651530E0,6.020495449E0
2.376420760E1,6.504221530E1,2.546518703E1,1.443001351E1,5.850764513E-1,3.447486045E2,4.748651530E0,6.071835378E0
2.476469636E1,6.504221937E1,2.546517849E1,1.413551956E1,4.737529159E-1,3.447486050E2,4.748651530E0,5.999970560E0
2.576515114E1,6.504224570E1,2.546516530E1,1.462968104E1,4.737529159E-1,3.447486050E2,4.748651530E0,6.196295434E0
2.676557779E1,6.504226589E1,2.546515617E1,1.583221283E1,4.737529159E-1,3.447486050E2,4.748651530E0,6.755789268E0
2.776597965E1,6.504229097E1,2.546514270E1,1.844616534E1,7.795879841E-1,3.413362401E2,4.748651530E0,5.443789525E0
2.876635373E1,6.504230468E1,2.546512742E1,1.793226414E1,9.801668525E-1,3.413362389E2,4.748651530E0,5.202501132E0
2.976670969E1,6.504231245E1,2.546511872E1,1.747010877E1,9.910740852E-1,3.413362388E2,4.748651530E0,4.746948210E0
3.076703906E1,6.504232430E1,2.546511489E1,1.716292460E1,9.801668525E-1,3.413362389E2,4.748651530E0,4.770846582E0
3.176734769E1,6.504233838E1,2.546512551E1,1.758261249E1,9.910740852E-1,4.614684805E0,4.748651530E0,4.439121397E0
3.276763570E1,6.504234230E1,2.546513294E1,1.708907333E1,5.935112238E-1,4.614684189E0,4.748651530E0,4.385216885E0
3.376790738E1,6.504234123E1,2.546513286E1,1.689350544E1,5.935112238E-1,4.614684189E0,4.748651530E0,5.376065344E0
3.476816010E1,6.504234906E1,2.546515342E1,1.790807157E1,4.936649646E-1,3.400148407E2,3.861138636E0,3.567821904E0
3.576839709E1,6.504235793E1,2.546513747E1,1.713771068E1,7.899419372E-1,3.467018627E2,3.589249068E0,3.193952898E0
3.676862025E1,6.504236846E1,2.546512295E1,1.666259972E1,9.659356372E-1,3.376797857E2,3.280949538E0,3.000000000E0
3.776882732E1,6.504237708E1,2.546511493E1,1.613441603E1,8.034453853E-1,3.381484662E2,2.962107296E0,3.000000000E0
3.876902187E1,6.504237983E1,2.546510813E1,1.570547512E1,7.176508116E-1,3.342830101E2,2.844446700E0,3.000000000E0
3.976920354E1,6.504238652E1,2.546509439E1,1.535817809E1,6.534843460E-1,3.381963002E2,2.881372729E0,3.000000000E0
4.076937413E1,6.504239581E1,2.546508533E1,1.521468159E1,6.978300919E-1,3.425432313E2,2.951500774E0,3.000000000E0
4.176953483E1,6.504240885E1,2.546506789E1,1.573161954E1,9.409400288E-1,3.407608007E2,2.901324690E0,3.000000000E0
4.276968312E1,6.504239922E1,2.546506696E1,1.336429295E1,8.617596365E-1,3.391556934E2,2.950367821E0,3.686452132E0
4.376982331E1,6.504240498E1,2.546506300E1,1.434116686E1,4.132148770E-1,3.394342040E2,3.064605490E0,3.770655111E0
4.476995492E1,6.504241384E1,2.546505223E1,1.374902627E1,4.874505158E-1,3.400226930E2,3.216335231E0,4.072255867E0
4.577007616E1,6.504242294E1,2.546504155E1,1.330172541E1,7.306690959E-1,3.406076527E2,3.298436300E0,4.093000087E0
4.677019227E1,6.504243579E1,2.546503236E1,1.333626430E1,8.133997934E-1,3.406187799E2,3.299234205E0,3.957848519E0
4.777029884E1,6.504244899E1,2.546503362E1,1.322107442E1,8.310719350E-1,3.529654261E2,3.308948779E0,4.003657847E0
4.877039886E1,6.504245783E1,2.546503194E1,1.280790452E1,8.576395433E-1,3.549797916E2,3.380492961E0,4.158584905E0
4.977049279E1,6.504247318E1,2.546503465E1,1.289966110E1,1.150282361E0,3.589014187E2,3.545207136E0,4.404859756E0
5.077058041E1,6.504248351E1,2.546503333E1,1.366022728E1,9.224834423E-1,3.598937642E2,3.658693903E0,4.481761314E0
5.177066195E1,6.504248672E1,2.546503356E1,1.375800315E1,5.063743872E-1,2.124616629E0,3.671977438E0,4.721661633E0
5.277074039E1,6.504250323E1,2.546504430E1,1.316395416E1,9.191435293E-1,1.044052929E1,3.688514438E0,4.614685558E0
5.377080989E1,6.504251026E1,2.546504839E1,1.303205086E1,7.502754555E-1,1.826295067E1,3.642028257E0,4.486149435E0
5.477087712E1,6.504252499E1,2.546506174E1,1.345971590E1,1.010725366E0,2.221419756E1,3.652240402E0,4.516755503E0
5.577094007E1,6.504253534E1,2.546507294E1,1.399593615E1,8.862609797E-1,2.922414853E1,3.592399955E0,4.562059265E0
5.677099741E1,6.504255043E1,2.546508364E1,1.433366072E1,1.032447514E0,2.924760380E1,3.512779948E0,4.345216805E0
5.777105212E1,6.504256211E1,2.546508906E1,1.485323718E1,9.801351218E-1,2.507880126E1,3.460460057E0,4.227399003E0
5.877110243E1,6.504256889E1,2.546509563E1,1.460268407E1,7.915264906E-1,2.540038368E1,3.430060965E0,4.180436208E0
5.977115047E1,6.504258185E1,2.546511050E1,1.497687447E1,1.044096973E0,2.664686966E1,3.467842847E0,4.196951823E0
6.077119374E1,6.504259256E1,2.546512760E1,1.514684000E1,1.149354871E0,3.211818292E1,3.466448069E0,4.177311448E0
6.177123547E1,6.504260498E1,2.546513924E1,1.531952358E1,1.209252433E0,2.831307933E1,3.443684257E0,4.189427273E0
6.277127385E1,6.504261966E1,2.546514941E1,1.534848888E1,1.391645907E0,2.286397204E1,3.371500021E0,4.066276046E0
6.377130914E1,6.504263271E1,2.546515853E1,1.532535952E1,1.522806014E0,2.030383601E1,3.327877523E0,4.416575510E0
6.477134180E1,6.504264607E1,2.546516676E1,1.558641528E1,1.571514700E0,1.848669403E1,3.280539621E0,4.506198800E0
6.577137244E1,6.504265925E1,2.546516986E1,1.551065686E1,1.574095351E0,1.317748047E1,3.216512592E0,4.467901767E0
6.677140152E1,6.504267236E1,2.546517455E1,1.548229974E1,1.560656384E0,1.163614882E1,3.184009111E0,4.444744956E0
6.777142799E1,6.504268589E1,2.546517774E1,1.573370339E1,1.569909171E0,9.642736212E0,3.171336314E0,4.508349876E0
6.877145219E1,6.504270013E1,2.546517835E1,1.605601474E1,1.561642231E0,6.734710679E0,3.169125089E0,4.460318958E0
6.977147543E1,6.504271435E1,2.546517809E1,1.716251361E1,1.533159369E0,3.748989920E0,3.141611529E0,4.394516774E0
7.077149653E1,6.504272746E1,2.546517920E1,1.724425916E1,1.548868364E0,3.424483534E0,3.104475109E0,4.295453752E0
7.177151608E1,6.504273763E1,2.546517961E1,1.691499806E1,1.318228775E0,2.828658487E0,3.069816363E0,4.446868916E0
7.277153480E1,6.504274735E1,2.546518113E1,1.680783199E1,1.102880753E0,4.493820064E0,3.105644261E0,4.000460435E0
7.377155149E1,6.504275862E1,2.546518378E1,1.666931535E1,1.121467108E0,6.103998358E0,3.105184369E0,3.844034762E0
7.477156723E1,6.504276866E1,2.546518914E1,1.633035127E1,1.170536641E0,8.400582753E0,3.049925170E0,3.823599926E0
7.577158093E1,6.504277678E1,2.546519219E1,1.600239749E1,1.204642877E0,7.178482270E0,2.997428906E0,3.821993856E0
7.677159464E1,6.504278327E1,2.546518601E1,1.578051936E1,1.021551572E0,3.569545099E2,2.947557471E0,3.714148344E0
7.777160621E1,6.504279061E1,2.546517645E1,1.546563493E1,9.793241477E-1,3.479480001E2,2.900179587E0,3.523178837E0
7.877161753E1,6.504279755E1,2.546516135E1,1.514332152E1,1.011413831E0,3.366080259E2,2.856687877E0,3.453612672E0
7.977162766E1,6.504280799E1,2.546514669E1,1.520348653E1,1.234183386E0,3.343763464E2,2.860584702E0,3.421269505E0
8.077163613E1,6.504281558E1,2.546514284E1,1.483150181E1,1.075900736E0,3.396720465E2,2.833734944E0,3.298993087E0
8.177164865E1,6.504281999E1,2.546513695E1,1.481697757E1,7.852518152E-1,3.392301917E2,2.810044232E0,3.148246554E0
8.277165616E1,6.504282656E1,2.546511984E1,1.478112556E1,8.517159082E-1,3.267305393E2,2.787540582E0,3.038060906E0
8.377166343E1,6.504282867E1,2.546509670E1,1.469162721E1,8.093321155E-1,3.069002828E2,2.806978018E0,3.093383304E0
8.477166760E1,6.504282805E1,2.546507274E1,1.410111641E1,8.435588448E-1,2.910304823E2,2.808090387E0,3.131473271E0
8.577167118E1,6.504282518E1,2.546504848E1,1.417963517E1,8.911439632E-1,2.796092449E2,2.820825164E0,3.126245849E0
8.677167618E1,6.504282300E1,2.546502676E1,1.424676915E1,9.071353947E-1,2.733295728E2,2.809966243E0,3.000000000E0
8.777168167E1,6.504281893E1,2.546499908E1,1.455873108E1,1.026491970E0,2.661254606E2,2.769467931E0,3.000000000E0
8.877168477E1,6.504281751E1,2.546497345E1,1.455548794E1,1.105920037E0,2.648942950E2,2.730994528E0,3.000000000E0
8.977168846E1,6.504281600E1,2.546495429E1,1.461277222E1,9.192205871E-1,2.622316566E2,2.797801558E0,3.000000000E0
9.077169061E1,6.504280650E1,2.546492135E1,1.454009620E1,1.137444129E0,2.492359646E2,2.789377226E0,3.000000000E0
9.177169335E1,6.504279801E1,2.546490125E1,1.463153089E1,1.061312072E0,2.387649048E2,2.828774964E0,3.000000000E0
9.277169538E1,6.504279222E1,2.546488870E1,1.464314331E1,8.020288973E-1,2.312943593E2,2.848452005E0,3.000000000E0
9.377169716E1,6.504278707E1,2.546486864E1,1.477321287E1,7.911882772E-1,2.339915437E2,2.940623856E0,3.000000000E0
9.477169919E1,6.504277866E1,2.546483960E1,1.487724692E1,9.812577713E-1,2.369648988E2,3.020630476E0,3.000000000E0
9.577170014E1,6.504277275E1,2.546481875E1,1.493685846E1,1.006786719E0,2.398156901E2,3.008170946E0,3.043851657E0
9.677170110E1,6.504276331E1,2.546480048E1,1.515406294E1,1.015731709E0,2.322999307E2,3.044963908E0,3.000000000E0
9.777170146E1,6.504275626E1,2.546478485E1,1.478580760E1,9.169522975E-1,2.317715746E2,3.072232082E0,3.000000000E0
9.877170074E1,6.504274874E1,2.546477385E1,1.481526513E1,7.923819346E-1,2.254232543E2,3.089324639E0,3.306421749E0
9.977170193E1,6.504274210E1,2.546475468E1,1.429632856E1,7.826102783E-1,2.243998964E2,3.042932096E0,3.306234514E0
1.007717012E2,6.504273506E1,2.546474378E1,1.458768082E1,7.395791443E-1,2.249131841E2,3.013589124E0,3.501700549E0
1.017717007E2,6.504272950E1,2.546472219E1,1.501506240E1,8.256582820E-1,2.336918124E2,3.057670590E0,3.526201009E0
1.027716992E2,6.504272894E1,2.546471326E1,1.492306002E1,5.400027316E-1,2.348725091E2,3.031864207E0,3.369263078E0
1.037716985E2,6.504272665E1,2.546471744E1,1.465882366E1,2.626886835E-1,2.213611069E2,3.068398490E0,3.197882385E0
1.047716981E2,6.504271859E1,2.546469954E1,1.407430697E1,6.575945682E-1,2.202652946E2,3.112953217E0,3.147116363E0
1.057716963E2,6.504271712E1,2.546467745E1,1.468038222E1,6.148707837E-1,2.428206120E2,3.312401049E0,3.344738451E0
1.067716948E2,6.504271501E1,2.546467193E1,1.405180241E1,4.492525020E-1,2.420238433E2,3.460841591E0,3.393471333E0
1.077717404E2,6.504271204E1,2.546465785E1,1.422810760E1,4.310282215E-1,2.445013356E2,3.410059776E0,3.353231719E0
1.087716912E2,6.504270434E1,2.546463032E1,1.431807451E1,8.058061112E-1,2.406905677E2,3.387002169E0,3.297869913E0
1.097716900E2,6.504270078E1,2.546460953E1,1.386526468E1,8.229811281E-1,2.448681120E2,3.384197607E0,3.594699171E0
1.107716870E2,6.504269733E1,2.546459757E1,1.324383957E1,6.630835646E-1,2.407013146E2,3.374385324E0,3.635723659E0
1.117716846E2,6.504268898E1,2.546456543E1,1.353639958E1,7.964522522E-1,2.408771133E2,3.384123298E0,3.923805205E0
1.127716825E2,6.504268123E1,2.546453252E1,1.367800385E1,9.297890690E-1,2.444964395E2,3.369960469E0,4.151757169E0
1.137716807E2,6.504267603E1,2.546451148E1,1.319272562E1,7.339522337E-1,2.487392378E2,3.324734254E0,4.050812564E0
1.147716777E2,6.504267466E1,2.546448180E1,1.353900439E1,9.137032588E-1,2.601244997E2,3.273496911E0,4.015923106E0
1.157716752E2,6.504266930E1,2.546445291E1,1.342511200E1,8.969379002E-1,2.612340236E2,3.289473855E0,4.350707327E0
1.167716722E2,6.504266479E1,2.546442505E1,1.354960258E1,8.281871085E-1,2.642723488E2,3.261897519E0,4.495569064E0
1.177716696E2,6.504266536E1,2.546439796E1,1.266942385E1,9.179749890E-1,2.720049988E2,3.297383647E0,4.173145755E0
1.187716666E2,6.504265607E1,2.546437170E1,1.208427122E1,7.901168012E-1,2.516877816E2,3.291712198E0,4.148116889E0
1.197716637E2,6.504265774E1,2.546434400E1,1.250755272E1,8.699920604E-1,2.647067399E2,3.289325841E0,4.445806314E0
1.207716615E2,6.504265807E1,2.546432859E1,1.351568513E1,6.393322693E-1,2.682335853E2,3.402034086E0,4.344495124E0
1.217716588E2,6.504265563E1,2.546430996E1,1.341996709E1,5.375597694E-1,2.629707555E2,3.506802850E0,4.364678602E0
1.227716551E2,6.504265664E1,2.546428191E1,1.320647654E1,7.068707074E-1,2.682022750E2,3.556570677E0,4.698072521E0
1.237716517E2,6.504265696E1,2.546425399E1,1.324646310E1,8.446496411E-1,2.686873393E2,3.615810494E0,4.395885496E0
1.247716488E2,6.504265865E1,2.546422716E1,1.346297728E1,8.361991088E-1,2.725865795E2,3.560579353E0,4.102015286E0
1.257716459E2,6.504266005E1,2.546420367E1,1.384927873E1,8.400806735E-1,2.770841674E2,3.555858206E0,4.020211659E0
1.267716423E2,6.504265672E1,2.546418108E1,1.396432485E1,7.389203686E-1,2.635668801E2,3.610099948E0,4.055012977E0
1.277716383E2,6.504265686E1,2.546416016E1,1.430275857E1,5.873726851E-1,2.667009271E2,3.657995967E0,4.093762450E0
1.287716348E2,6.504265087E1,2.546413372E1,1.440837379E1,5.621032185E-1,2.565599587E2,3.641520930E0,4.115088856E0
1.297716316E2,6.504264779E1,2.546409847E1,1.440978462E1,7.832645729E-1,2.626319905E2,3.634311489E0,4.204770712E0
1.307716285E2,6.504264934E1,2.546407422E1,1.456487096E1,8.509458751E-1,2.716525630E2,3.661337774E0,4.083372844E0
1.317716250E2,6.504264644E1,2.546405156E1,1.454379774E1,8.399105123E-1,2.658711215E2,3.618080782E0,4.365629214E0
1.327716217E2,6.504264391E1,2.546402824E1,1.422945656E1,8.407898225E-1,2.611725398E2,3.646900267E0,4.162790633E0
1.337721888E2,6.504264282E1,2.546399910E1,1.427106643E1,9.036358195E-1,2.672715234E2,3.744816984E0,4.253906370E0
1.347721937E2,6.504264569E1,2.546397162E1,1.457609574E1,9.481645512E-1,2.769056351E2,3.808207944E0,4.567988857E0
1.357721908E2,6.504264668E1,2.546394007E1,1.485848572E1,1.062674731E0,2.785602738E2,3.885925260E0,4.430903187E0
1.367721596E2,6.504264527E1,2.546390786E1,1.483632895E1,1.175706741E0,2.719228241E2,3.859347005E0,4.067830737E0
1.377721305E2,6.504264488E1,2.546387476E1,1.506365552E1,1.236476331E0,2.707289854E2,3.914234571E0,4.276068808E0
1.387720942E2,6.504264691E1,2.546384283E1,1.513019632E1,1.298652894E0,2.737493800E2,3.915540166E0,4.088267780E0
1.397720646E2,6.504264776E1,2.546381561E1,1.520948983E1,1.097801789E0,2.757389270E2,3.920446172E0,4.103820026E0
1.407720352E2,6.504264628E1,2.546377990E1,1.547203261E1,1.146925331E0,2.706607210E2,3.891548769E0,4.255716111E0
1.417719988E2,6.504264607E1,2.546374630E1,1.557945886E1,1.178216152E0,2.710208534E2,3.918991682E0,4.273998072E0
1.427719764E2,6.504264621E1,2.546372453E1,1.551244005E1,9.099367186E-1,2.722308156E2,3.904920952E0,4.164827960E0
1.437719530E2,6.504264589E1,2.546369559E1,1.543411608E1,9.788175363E-1,2.731970124E2,3.886201973E0,4.452413825E0
1.447719221E2,6.504264930E1,2.546367666E1,1.544809610E1,8.514858432E-1,2.834570275E2,3.897210685E0,4.346498820E0
1.457719049E2,6.504265196E1,2.546366167E1,1.572757777E1,6.683461313E-1,2.925349090E2,3.911747500E0,4.346632730E0
1.467718869E2,6.504265495E1,2.546366746E1,1.563666716E1,2.336799730E-1,3.034500182E2,3.858661865E0,4.370878325E0
1.477718601E2,6.504265601E1,2.546366461E1,1.541540728E1,4.841730302E-1,3.034500157E2,3.788979962E0,4.069110806E0
1.487718369E2,6.504265468E1,2.546365225E1,1.563148618E1,8.304536209E-1,2.705508935E2,3.784864218E0,4.312606116E0
1.497718136E2,6.504265240E1,2.546362978E1,1.564994050E1,1.007959730E0,2.650285136E2,3.797974937E0,4.417362459E0
1.507717923E2,6.504265239E1,2.546360020E1,1.566392411E1,1.174605984E0,2.677703865E2,3.784712716E0,4.320675341E0
1.517717725E2,6.504265196E1,2.546357180E1,1.523162736E1,1.150593573E0,2.719263008E2,3.718026823E0,4.102222323E0
1.527717532E2,6.504265418E1,2.546355580E1,1.477529345E1,8.919962234E-1,2.793773639E2,3.783793994E0,4.265412608E0
1.537717344E2,6.504265640E1,2.546353289E1,1.452179776E1,8.646536418E-1,2.793069319E2,3.777911367E0,4.863219234E0
1.547717175E2,6.504265858E1,2.546351260E1,1.459823056E1,7.901881853E-1,2.820041355E2,3.840774702E0,4.883028452E0
1.557716999E2,6.504265820E1,2.546348494E1,1.477649566E1,8.269582186E-1,2.772344983E2,3.931055335E0,5.090894513E0
1.567716845E2,6.504265653E1,2.546344809E1,1.443779725E1,1.098032672E0,2.721617976E2,3.932969351E0,4.814931103E0
1.577716687E2,6.504265785E1,2.546341300E1,1.463128368E1,1.099306569E0,2.765291641E2,3.946990354E0,4.652111416E0
1.587716551E2,6.504265662E1,2.546337847E1,1.437977602E1,1.202606899E0,2.707869780E2,3.863846831E0,4.923612885E0
1.597716410E2,6.504265866E1,2.546335060E1,1.447522665E1,1.186942782E0,2.747433485E2,3.837614901E0,4.547927471E0
1.607716283E2,6.504266165E1,2.546332805E1,1.444702173E1,1.057440606E0,2.803492593E2,3.797803274E0,4.673528000E0
1.617716157E2,6.504266341E1,2.546330556E1,1.503286741E1,8.888087801E-1,2.815034235E2,3.732093747E0,4.726162401E0
1.627716035E2,6.504266440E1,2.546328113E1,1.506004773E1,8.448444179E-1,2.825042896E2,3.694102346E0,4.697757125E0
1.637715912E2,6.504266640E1,2.546325172E1,1.484979934E1,9.639607251E-1,2.849510159E2,3.716217425E0,4.664086852E0
1.647715802E2,6.504266673E1,2.546322026E1,1.414527299E1,1.084062729E0,2.824856332E2,3.634228565E0,4.192202922E0
1.657715689E2,6.504266938E1,2.546319532E1,1.497670117E1,1.087800550E0,2.825798128E2,3.634888299E0,4.287213442E0
1.667715595E2,6.504266789E1,2.546316188E1,1.450671456E1,1.175960372E0,2.762060980E2,3.585871211E0,4.266246930E0
1.677715489E2,6.504266748E1,2.546313597E1,1.435672832E1,1.097080651E0,2.738529688E2,3.653209667E0,4.319748677E0
1.687715392E2,6.504266956E1,2.546310670E1,1.461711971E1,1.052268581E0,2.765019854E2,3.767632018E0,4.367975779E0
1.697715303E2,6.504267346E1,2.546307549E1,1.494316661E1,1.136009178E0,2.819048510E2,3.784796943E0,4.387033467E0
1.707715203E2,6.504267331E1,2.546305574E1,1.444937203E1,9.068298252E-1,2.774133426E2,3.904507074E0,4.311819129E0
1.717715119E2,6.504267309E1,2.546303690E1,1.478836617E1,7.986039885E-1,2.740535877E2,3.890515475E0,4.231736825E0
